Wavelength	R1
944	0.024777
945	0.024798
946	0.022816
947	0.022428
948	0.024302
949	0.029015
950	0.033262
951	0.030365
952	0.023109
953	0.017701
954	0.014069
955	0.011617
956	0.010027
957	0.009073
958	0.008465
959	0.007948
960	0.007594
961	0.007404
962	0.007427
963	0.007691
964	0.008279
965	0.009583
966	0.01161
967	0.014421
968	0.015697
969	0.015147
970	0.015323
971	0.015241
972	0.013834
973	0.01253
974	0.011835
975	0.012358
976	0.015199
977	0.023051
978	0.040305
979	0.055221
980	0.040803
981	0.019963
982	0.011475
983	0.008115
984	0.006864
985	0.00636
986	0.006683
987	0.008602
988	0.010417
989	0.014103
990	0.024824
991	0.044425
992	0.045476
993	0.027903
994	0.016311
995	0.011013
996	0.008229
997	0.006831
998	0.005951
999	0.005604
1000	0.005652
